NamaMenteri,NamaPresiden,Asal
Sarwono_Kusumaatmadja,Soeharto,Jakarta
Achmad_Tahir,Soeharto,"Kisaran, Sumatera Utara"
Daoed_Joesoef,Soeharto,"Medan, Sumatera Utara"
Idham_Chalid,Soeharto,Satui
B._M._Diah,Soeharto,Banda Aceh
Hartarto_Sastrosoenarto,Soeharto,"Solo, Jawa Tengah"
Mukti_Ali,Soeharto,"Blora, Jawa Tengah"
T.B._Silalahi,Soeharto,"Pemantangsiantar, Sumatera Utara"
Mashuri_Saleh,Soeharto,"Pati, Jawa Tengah"
Subroto,Soeharto,"Surakarta, Jawa Tengah"
Mursalin_Daeng_Mamangung,Soeharto,"Selayar, Sulawesi Selatan"
Sujudi,Soeharto,"Bogor, Jawa Barat"
Abdul_Gafur,Soeharto,"Halmahera, Maluku Utara"
Faried_Anfasa_Moeloek,Soeharto,Lampung
Rahardi_Ramelan,Soeharto,"Sukabumi, Jawa Barat"
Giri_Suseno_Hadihardjono,Soeharto,"Solo, Jawa Tengah"
Kuntoro_Mangkusubroto,Soeharto,"Purwokerto, Jawa Tengah"
Theo_L._Sambuaga,Soeharto,"Manado, Sulawesi Utara"
Nugroho_Notosusanto,Soeharto,"Rembang, Jawa Tengah"
Harun_Al-Rasjid_Zain,Soeharto,Jakarta
Moerdiono,Soeharto,"Banyuwangi, Jawa Timur"
Joop_Ave,Soeharto,Yogyakarata
Surono_Reksodimedjo,Soeharto,"Banyumas, Jawa Tengah"
Sumantri_Brodjonegoro,Soeharto,"Semarang, Jawa Tengah"
Ida_Bagus_Sudjana,Soeharto,"Sanur, Bali"
Soedjarwo,Soeharto,"Wonogiri, Jawa Tengah"
Hasjrul_Harahap,Soeharto,"Pemantangsiantar, Sumatera Utara"
Suwardjono_Surjaningrat,Soeharto,"Purwodadi, Jawa Tengah"
Subiakto_Tjakrawerdaya,Soeharto,"Cilacap, Jawa Tengah"
Wardiman_Djojonegoro,Soeharto,"Madura, Jawa Timur"
Syarief_Thayeb,Soeharto,"Peurelak, Aceh"
Lasiyah_Soetanto,Soeharto,"Bantul, Yogyakarta"
Sulasikin_Murpratomo,Soeharto,Jakarta
Rachmat_Saleh,Soeharto,"Surabaya, Jawa Timur"
Haryanto_Dhanutirto,Soeharto,"Purwokerto, Jawa Tengah"
Nani_Soedarsono,Soeharto,"Purwodadi, Jawa Tengah"
Purnomosidi_Hadjisarosa,Soeharto,"Klaten, Jawa Tengah"
Thoyib_Hadiwidjaja,Soeharto,"Ciamis, Jawa Barat"
A.R._Soehoed,Soeharto,Jakarta
Martono,Soeharto,"Kebumen, Jawa Tengah"
Haryati_Soebadio,Soeharto,Jakarta
Wardojo,Soeharto,"Surakarta, Jawa Tengah"
Sutami,Soeharto,"Surakarta, Jawa Tengah"
Radinal_Mochtar,Soeharto,"Surabaya, Jawa Timur"
Muhammad_Dahlan,Soeharto,"Pasuruan, Jawa Timur"
Ali_Sadikin,Soekarno,"Sumedang, Jawa Barat"
Bahder_Djohan,Soekarno,"Padang, Sumatera Barat"
Chaerul_Saleh,Soekarno,"Sawahlunto, Sumatera Barat"
G.A._Siwabessy,Soekarno,"Saparua, Maluku"
Herman_Johannes,Soekarno,"Rote, Nusa Tenggara Timur"
Hoegeng_Imam_Santoso,Soekarno,"Pekalongan, Jawa Tengah"
Ibnu_Sutowo,Soekarno,Yogyakarta
Jacob_Salatun,Soekarno,"Banyumas, Jawa Tengah"
Sutomo,Soekarno,"Surabaya, Jawa Timur"
Ferdinand_Lumbantobing,Soekarno,"Sibolga, Sumatera Utara"
Djatikoesoemo,Soekarno,"Surakarta, Jawa Tengah"
Lie_Kiat_Teng,Soekarno,"Sukabumi, Jawa Barat"
Awaluddin_Djamin,Soekarno,"Padang, Sumatera Barat"
Abdul_Azis_Saleh,Soekarno,"Boyolali, Jawa Tengah"
Idham_Chalid,Soekarno,Satui
B._M._Diah,Soekarno,Banda Aceh
Pangeran_Muhammad_Noor,Soekarno,Martapura
Mursalin_Daeng_Mamangung,Soekarno,"Selayar, Sulawesi Selatan"
Boentaran_Martoatmodjo,Soekarno,Purworejo
Rozik_Boedioro_Soetjipto,Soekarno,"Kebumen, Jawa Tengah"
Soerjadi_Soerjadarma,Soekarno,"Banyuwangi, Jawa Timur"
Roosseno,Soekarno,"Madiun, Jawa Timur"
Maladi,Soekarno,"Surakarta, Jawa Tengah"
Hadi_Thayeb,Soekarno,"Peurelak, Aceh"
Masjkur,Soekarno,"Malang, Jawa Timur"
Soedjarwo,Soekarno,"Wonogiri, Jawa Tengah"
Todung_Sutan_Gunung_Mulia,Soekarno,Indonesia
Ki_Sarmidi_Mangunsarkoro,Soekarno,Indonesia
R.M._Suwandi,Soekarno,Hindia Belanda
Sarino_Mangunpranoto,Soekarno,Bagelen
Wikana,Soekarno,"Sumedang, Jawa Barat"
Muhammad_Ilyas_(menteri),Soekarno,"Probolinggo, Jawa Timur"
Suharnoko_Harbani,Soekarno,"Banyuwangi, Jawa Timur"
Sutami,Soekarno,"Surakarta, Jawa Tengah"
Muhammad_Sanusi,Soekarno,"Klaten, Jawa Tengah"
Hidajat_Martaatmadja,Soekarno,Hindia Belanda
Rusiah_Sardjono,Soekarno,Indonesia
Saifuddin_Zuhri,Soekarno,"Banyumas, Jawa Tengah"
Ashari_Danudirdjo,Soekarno,"Semarang, Jawa Tengah"
Fakih_Usman,Soekarno,"Gresik, Jawa Timur"
Herling_Laoh,Soekarno,"Tompaso, Sulawesi Utara"
Muhammad_Wahib_Wahab,Soekarno,"Jombang, Jawa Timur"
Soenardjo_Abu_Ngusman,Soekarno,"Kebumen, Jawa Tengah"
Adhyaksa_Dault,Susilo_Bambang_Yudhoyono,Donggala
Amir_Syamsuddin,Susilo_Bambang_Yudhoyono,"Makassar, Sulawesi Selatan"
Anton_Apriyantono,Susilo_Bambang_Yudhoyono,"Serang, Banten"
Armida_Alisjahbana,Susilo_Bambang_Yudhoyono,"Bandung, Jawa Barat"
Bachtiar_Chamsyah,Susilo_Bambang_Yudhoyono,"Pidie, Aceh"
Dahlan_Iskan,Susilo_Bambang_Yudhoyono,"Magetan, Jawa Timur"
Darwin_Zahedy_Saleh,Susilo_Bambang_Yudhoyono,"Indagiri Hilir, Riau"
Djoko_Suyanto,Susilo_Bambang_Yudhoyono,"Madiun, Jawa Timur"
Emil_Salim,Susilo_Bambang_Yudhoyono,"Lahat, Sumatera Selatan"
Endang_Rahayu_Sedyaningsih,Susilo_Bambang_Yudhoyono,Jakarta
Freddy_Numberi,Susilo_Bambang_Yudhoyono,"Yapen Waropen, Papua"
Ginandjar_Kartasasmita,Susilo_Bambang_Yudhoyono,"Bandung, Jawa Barat"
